motif,index in matrix,number of edges,one binary representation
,,,
motif3,0,2,11
,,,
motif3,1,2,110
,,,
motif3,2,3,111
,,,
motif3,3,2,1010
,,,
motif3,4,3,1011
,,,
motif3,5,4,1111
,,,
motif3,6,3,10101
,,,
motif3,7,4,10111
,,,
motif3,8,3,11001
,,,
motif3,9,4,11011
,,,
motif3,10,4,11110
,,,
motif3,11,5,11111
,,,
motif3,12,6,111111
,,,
motif4,13,3,111
,,,
motif4,14,3,1110
,,,
motif4,15,4,1111
,,,
motif4,16,3,10101
,,,
motif4,17,3,10110
,,,
motif4,18,4,10111
,,,
motif4,19,4,11101
,,,
motif4,20,4,11110
,,,
motif4,21,5,11111
,,,
motif4,22,4,110110
,,,
motif4,23,5,110111
,,,
motif4,24,6,111111
,,,
motif4,25,3,1001100
,,,
motif4,26,4,1001101
,,,
motif4,27,5,1001111
,,,
motif4,28,3,1010100
,,,
motif4,29,4,1010101
,,,
motif4,30,4,1010110
,,,
motif4,31,5,1010111
,,,
motif4,32,4,1011100
,,,
motif4,33,5,1011101
,,,
motif4,34,5,1011110
,,,
motif4,35,6,1011111
,,,
motif4,36,4,1100011
,,,
motif4,37,3,1100100
,,,
motif4,38,4,1100101
,,,
motif4,39,4,1100110
,,,
motif4,40,5,1100111
,,,
motif4,41,4,1101010
,,,
motif4,42,5,1101011
,,,
motif4,43,4,1101100
,,,
motif4,44,5,1101101
,,,
motif4,45,5,1101110
,,,
motif4,46,6,1101111
,,,
motif4,47,5,1110011
,,,
motif4,48,4,1110100
,,,
motif4,49,5,1110101
,,,
motif4,50,5,1110110
,,,
motif4,51,6,1110111
,,,
motif4,52,5,1111010
,,,
motif4,53,6,1111011
,,,
motif4,54,5,1111100
,,,
motif4,55,6,1111101
,,,
motif4,56,6,1111110
,,,
motif4,57,7,1111111
,,,
motif4,58,5,11011100
,,,
motif4,59,6,11011101
,,,
motif4,60,7,11011111
,,,
motif4,61,4,11100100
,,,
motif4,62,5,11100101
,,,
motif4,63,5,11100110
,,,
motif4,64,6,11100111
